sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
63,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,111.61,17.23,5.85,56.65,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
64,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,138.24,15.29,5.83,51.11,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
65,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,126.12,16.59,3.44,55.16,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
66,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,124.37,20.15,3.25,64.25,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
67,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,125.93,18.67,1.2,53.92,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
68,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,126.92,17.31,2.27,57.54,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
69,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,129.82,19.23,3.97,55.99,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
70,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,130.32,21.95,1.8,68.66,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
71,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,122.94,19.25,1.4,51.38,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
72,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,114.48,19.51,2.74,64.62,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
73,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,119.45,4.42,1.52,12.88,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
74,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.8,2.92,1.67,9.73,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
75,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,126.18,3.43,1.43,11.97,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
76,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,127.59,2.17,1.73,7.67,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
77,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.48,3.91,1.42,16.35,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
78,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,117.7,3.39,1.12,11.81,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
79,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,119.69,1.24,1.12,4.75,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
80,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,125.98,2.26,2.0,7.08,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
81,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,130.01,1.67,1.18,6.18,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
82,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,111.24,2.75,1.57,8.58,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
83,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,118.81,2.23,1.43,7.42,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
84,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,127.51,2.72,0.87,8.74,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
85,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,119.88,3.23,1.6,10.43,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
86,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,113.75,3.17,0.97,11.04,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
87,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,131.42,2.71,0.96,8.35,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
88,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,130.2,4.03,1.19,15.98,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
89,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,129.97,3.26,1.34,10.57,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
